original_location_area,normalized_region,count
TRISSUR,Thrissur,1
TRSR,Thrissur,1
Thiruvmabady,Kozhikode,1
ULLIYERI,Ulliyeri,1
"VADAKARA,CLT",Kozhikode,1
"VAKAMOLI,CLT",Kozhikode,1
VANIYAMKULAM,Palakkad,1
VEGERI,Kozhikode,1
"VENGARA,VALIYORA,MLM",Malappuram,1
VP HALL MANJERI,Vp Hall Manjeri,1
"WANDOOR,MLM",Malappuram,1
clt,Kozhikode,1
